"","Views","Title","Department","Details","Amount","Date","Place","ID"
"737","43 views","
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78449"
"738","48 views","
                      I Paid Rs. 1500 to Transport in Bangalore.
                    ","Transport","Registration of Vehicle","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78448"
"739","47 views","
                      I Paid Rs. 1400 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 1,400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78447"
"740","46 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78445"
"741","42 views","
                      I Paid Rs. 800 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78446"
"742","53 views","
                      I Paid Rs. 219 to Food, Civil Supplies and Consumer Affairs in Pithapuram.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 219
                        ","October 12, 2015","Pithapuram
                      , Andhra Pradesh","78444"
"743","34 views","
                      I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78443"
"744","43 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78442"
"745","53 views","
                      I Paid Rs. 432 to Police in Muzaffarpur.
                    ","Police","Filing FIR","Paid INR 432
                        ","October 12, 2015","Muzaffarpur
                      , Bihar","78441"
"746","41 views","
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78440"
"747","52 views","
                      I Paid Rs. 2000 to Passport in Bangalore.
                    ","Passport","Passport Delivery","Paid INR 2,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78439"
"748","41 views","
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Police","Police Harassment","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78438"
"749","40 views","
                      I Paid Rs. 1500 to Police in Bangalore.
                    ","Police","Police Harassment","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78437"
"750","47 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78436"
"751","85 views","
                      I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Hyderabad.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 1,500
                        ","October 12, 2015","Hyderabad
                      , Telangana","78435"
"752","45 views","
                      I Paid Rs. 800 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78433"
"753","47 views","
                      I Paid Rs. 15000 to Transport in Bangalore.
                    ","Transport","Registration of Vehicle","Paid INR 15,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78432"
"754","53 views","
                      I Paid Rs. 700 to Passport in Bangalore.
                    ","Passport","Police Verification for Passport","Paid INR 700
                        ","October 12, 2015","Bangalore
                      , Karnataka","78431"
"755","41 views","
                      I Paid Rs. 2000 to Police in Bangalore.
                    ","Police","Police Harassment","Paid INR 2,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78429"
"756","36 views","
                      I Paid Rs. 900 to Police in Bangalore.
                    ","Police","Police Harassment","Paid INR 900
                        ","October 12, 2015","Bangalore
                      , Karnataka","78428"
"757","53 views","
                      I Paid Rs. 1000 to Passport in Bangalore.
                    ","Passport","Passport Delivery","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78427"
"758","46 views","
                      I Paid Rs. 800 to Passport in Bangalore.
                    ","Passport","Passport Delivery","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78426"
"759","42 views","
                      I Paid Rs. 1600 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 1,600
                        ","October 12, 2015","Bangalore
                      , Karnataka","78425"
"760","38 views","
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78423"
"761","37 views","
                      I Paid Rs. 2000 to Police in Bangalore.
                    ","Police","Traffic Violations","Paid INR 2,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78422"
"762","44 views","
                      I Paid Rs. 700 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 700
                        ","October 12, 2015","Bangalore
                      , Karnataka","78420"
"763","36 views","
                      I Paid Rs. 3500 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 3,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78419"
"764","44 views","
                      I Paid Rs. 600 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 600
                        ","October 12, 2015","Bangalore
                      , Karnataka","78418"
"765","58 views","
                      I Paid Rs. 692 to Stamps and Registration in Solapur.
                    ","Stamps and Registration","Registration of Property","Paid INR 692
                        ","October 12, 2015","Solapur
                      , Maharashtra","78417"
"766","34 views","
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78416"
"767","227 views","
                      I Paid Rs. 1500 to Railways in Bangalore.
                    ","Railways","Transport of Goods","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78415"
"768","49 views","
                      I Paid Rs. 862 to Stamps and Registration in Monoharpur.
                    ","Stamps and Registration","Registration of Property","Paid INR 862
                        ","October 12, 2015","Monoharpur
                      , West Bengal","78414"
"769","36 views","
                      I Paid Rs. 1400 to Police in Bangalore.
                    ","Police","Traffic Violations","Paid INR 1,400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78413"
"770","42 views","
                      I Paid Rs. 800 to Passport in Bangalore.
                    ","Passport","Police Verification for Passport","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78412"
"771","56 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78411"
"772","37 views","
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78410"
"773","49 views","
                      I Paid Rs. 10000 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 10,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78409"
"774","36 views","
                      I Paid Rs. 963 to Police in Raghunathpur.
                    ","Police","Traffic Violations","Paid INR 963
                        ","October 12, 2015","Raghunathpur
                      , West Bengal","78408"
"775","33 views","
                      I Paid Rs. 1200 to Police in Bangalore.
                    ","Police","Police Harassment","Paid INR 1,200
                        ","October 12, 2015","Bangalore
                      , Karnataka","78407"
"776","41 views","
                      I Paid Rs. 345 to Stamps and Registration in Punjaipugalur.
                    ","Stamps and Registration","Registration of Property","Paid INR 345
                        ","October 12, 2015","Punjaipugalur
                      , Tamil Nadu","78406"
"777","44 views","
                      I Paid Rs. 15000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 15,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78405"
"778","34 views","
                      I Paid Rs. 987 to Food, Civil Supplies and Consumer Affairs in Leh (Ladakh).
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 987
                        ","October 12, 2015","Leh (Ladakh)
                      , Jammu and Kashmir","78404"
"779","43 views","
                      I Paid Rs. 800 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78403"
"780","49 views","
                      I Paid Rs. 1000 to Transport in Bangalore.
                    ","Transport","Registration of Vehicle","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78402"
"781","42 views","
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78401"
"782","53 views","
                      I Paid Rs. 800 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78400"
"783","46 views","
                      I Paid Rs. 1500 to Transport in Bangalore.
                    ","Transport","Registration of Vehicle","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78399"
"784","41 views","
                      I Paid Rs. 1500 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78398"
"785","36 views","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78397"
"786","39 views","
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78396"
"787","42 views","
                      I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78395"
"788","37 views","
                      I Paid Rs. 1500 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78394"
"789","40 views","
                      I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78393"
"790","33 views","
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78392"
"791","44 views","
                      I Paid Rs. 1500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78391"
"792","105 views","
                      I Paid Rs. 100 to Others in Gurgaon.
                    ","Others","Others","Paid INR 100
                        ","October 12, 2015","Gurgaon
                      , Haryana","78390"
"793","47 views","
                      I Paid Rs. 800 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78389"
"794","80 views","
                      I Paid Rs. 2000 to Stamps and Registration in Hyderabad.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 2,000
                        ","October 12, 2015","Hyderabad
                      , Telangana","78388"
"795","38 views","
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78387"
"796","57 views","
                      I Paid Rs. 234 to Stamps and Registration in Nuzvid.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 234
                        ","October 12, 2015","Nuzvid
                      , Andhra Pradesh","78386"
"797","44 views","
                      I Paid Rs. 700 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 700
                        ","October 12, 2015","Bangalore
                      , Karnataka","78385"
"798","38 views","
                      I Paid Rs. 1000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78384"
"799","39 views","
                      I Paid Rs. 1300 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 1,300
                        ","October 12, 2015","Bangalore
                      , Karnataka","78383"
"800","37 views","
                      I Paid Rs. 5000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 5,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78382"
"801","39 views","
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Police","Traffic Violations","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78381"
"802","51 views","
                      I Paid Rs. 600 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 600
                        ","October 12, 2015","Bangalore
                      , Karnataka","78380"
"803","38 views","
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78379"
"804","42 views","
                      I Paid Rs. 3000 to Transport in Bangalore.
                    ","Transport","Registration of Vehicle","Paid INR 3,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78378"
"805","45 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78377"
"806","38 views","
                      I Paid Rs. 5000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 5,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78376"
"807","64 views","
                      I Paid Rs. 500 to Income Tax in Bangalore.
                    ","Income Tax","New PAN Card","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78375"
"808","79 views","
                      I Paid Rs. 6000 to Commercial Tax, Sales Tax, VAT in Pune.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 6,000
                        ","October 12, 2015","Pune
                      , Maharashtra","78374"
"809","39 views","
                      I Paid Rs. 1200 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 1,200
                        ","October 12, 2015","Bangalore
                      , Karnataka","78373"
"810","44 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78372"
"811","43 views","
                      I Paid Rs. 1000 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78371"
"812","43 views","
                      I Paid Rs. 500 to Passport in Bangalore.
                    ","Passport","Police Verification for Passport","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78370"
"813","45 views","
                      I Paid Rs. 1500 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78369"
"814","35 views","
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78368"
"815","160 views","
                      I Paid Rs. 250 to Railways in Bangalore.
                    ","Railways","Transport of Goods","Paid INR 250
                        ","October 12, 2015","Bangalore
                      , Karnataka","78366"
"816","80 views","
                      I Paid Rs. 1000 to Transport in New Delhi.
                    ","Transport","New Domestic Driving License","Paid INR 1,000
                        ","October 12, 2015","New Delhi
                      , Delhi","78365"
"817","45 views","
                      I Paid Rs. 2000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 2,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78364"
"818","38 views","
                      I Paid Rs. 350 to Police in Bangalore.
                    ","Police","Traffic Violations","Paid INR 350
                        ","October 12, 2015","Bangalore
                      , Karnataka","78362"
"819","46 views","
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78361"
"820","42 views","
                      I Paid Rs. 1700 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 1,700
                        ","October 12, 2015","Bangalore
                      , Karnataka","78360"
"821","47 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78359"
"822","39 views","
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Transport","Registration of Vehicle","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78358"
"823","38 views","
                      I Paid Rs. 1000 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78357"
"824","45 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78356"
"825","39 views","
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78355"
"826","36 views","
                      I Paid Rs. 5000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 5,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78354"
"827","46 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78352"
"828","44 views","
                      I Paid Rs. 500 to Passport in Bangalore.
                    ","Passport","Police Verification for Passport","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78353"
"829","49 views","
                      I Paid Rs. 1500 to Passport in Bangalore.
                    ","Passport","Police Verification for Passport","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78351"
"830","43 views","
                      I Paid Rs. 800 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78350"
"831","42 views","
                      I Paid Rs. 600 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 600
                        ","October 12, 2015","Bangalore
                      , Karnataka","78349"
"832","38 views","
                      I Paid Rs. 10000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 10,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78348"
"833","42 views","
                      I Paid Rs. 200 to Police in Bangalore.
                    ","Police","Police Harassment","Paid INR 200
                        ","October 12, 2015","Bangalore
                      , Karnataka","78347"
"834","160 views","
                      I Paid Rs. 500 to Railways in Bangalore.
                    ","Railways","Transport of Goods","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78346"
"835","0 views","
                      I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78345"
"836","70 views","
                      I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78344"
"837","40 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78343"
"838","40 views","
                      I Paid Rs. 1400 to Passport in Bangalore.
                    ","Passport","Passport Delivery","Paid INR 1,400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78342"
"839","36 views","
                      I Paid Rs. 150 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 150
                        ","October 12, 2015","Bangalore
                      , Karnataka","78341"
"840","37 views","
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78340"
"841","37 views","
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78339"
"842","41 views","
                      I Paid Rs. 2500 to Passport in Bangalore.
                    ","Passport","New Passport Application","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78338"
"843","31 views","
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78337"
"844","35 views","
                      I Paid Rs. 1000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78336"
"845","38 views","
                      I Paid Rs. 200 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 200
                        ","October 12, 2015","Bangalore
                      , Karnataka","78335"
"846","38 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78334"
"847","37 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Registration of Vehicle","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78333"
"848","57 views","
                      I Paid Rs. 1200 to Income Tax in Bangalore.
                    ","Income Tax","New PAN Card","Paid INR 1,200
                        ","October 12, 2015","Bangalore
                      , Karnataka","78332"
"849","34 views","
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78331"
"850","34 views","
                      I Paid Rs. 6000 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 6,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78330"
"851","0 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78329"
"852","71 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78328"
"853","35 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78327"
"854","33 views","
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78326"
"855","0 views","
                      I Paid Rs. 1000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78325"
"856","62 views","
                      I Paid Rs. 1000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78324"
"857","34 views","
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78323"
"858","0 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78322"
"859","30 views","
                      I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78321"
"860","60 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78320"
"861","41 views","
                      I Paid Rs. 700 to Passport in Bangalore.
                    ","Passport","Police Verification for Passport","Paid INR 700
                        ","October 12, 2015","Bangalore
                      , Karnataka","78319"
"862","31 views","
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78318"
"863","39 views","
                      I Paid Rs. 1300 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 1,300
                        ","October 12, 2015","Bangalore
                      , Karnataka","78317"
"864","35 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78316"
"865","29 views","
                      I Paid Rs. 400 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78315"
"866","55 views","
                      I Paid Rs. 500 to Income Tax in Bangalore.
                    ","Income Tax","New PAN Card","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78313"
"867","37 views","
                      I Paid Rs. 1500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78312"
"868","37 views","
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78311"
"869","34 views","
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78310"
"870","56 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78308"
"871","0 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78307"
"872","35 views","
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78306"
"873","34 views","
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78305"
"874","35 views","
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78304"
"875","40 views","
                      I Paid Rs. 5000 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 5,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78303"
"876","30 views","
                      I Paid Rs. 400 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78302"
"877","48 views","
                      I Paid Rs. 500 to Income Tax in Bangalore.
                    ","Income Tax","New PAN Card","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78301"
"878","30 views","
                      I Paid Rs. 1200 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 1,200
                        ","October 12, 2015","Bangalore
                      , Karnataka","78300"
